Bairro,Quantidade
Jequiezinho,91
Joaquim Romao,58
São Judas Tadeu,20
Mandacaru,13
Centro,11
Pompilio Sampaio,9
Sao Luis,8
Curral Novo,8
Cidade Nova,7
Campo do America,7
Tropical,6
São Jose,5
Itaigara,5
KM 03,5
Caixa Dagua,4
KM 04,3
Vila Rodoviaria,3
Cansancao,3
Espirito Santo,3
Parque das Algarobas,2
Agua Branca,1
