data,confirmados,recuperados,mortes,restricao
2020-03-16,5,0,0,
2020-03-18,5,0,0,
2020-03-19,6,0,0,
2020-04-01,19,5,0,
2020-04-02,19,5,0,
2020-04-03,21,5,0,
2020-04-07,21,5,0,
2020-04-08,35,5,0,
2020-04-09,40,6,0,
2020-04-10,42,10,0,
2020-04-13,47,18,0,
2020-04-14,53,20,0,
2020-04-15,55,25,0,
2020-04-16,56,29,0,
2020-04-17,57,34,0,
2020-04-20,64,40,1,
2020-04-22,69,41,1,
2020-04-23,70,44,1,
2020-04-24,73,44,1,
2020-04-27,81,50,1,
2020-04-28,82,52,1,
2020-04-29,85,52,1,
2020-04-30,85,55,1,
2020-05-01,87,55,1,
2020-05-04,98,60,1,
2020-05-05,99,62,1,
2020-05-06,109,68,1,
2020-05-07,112,70,1,
2020-05-08,119,73,1,
2020-05-11,134,75,1,
2020-05-12,145,77,1,
2020-05-13,156,80,1,
2020-05-14,159,81,1,
2020-05-15,170,85,2,
2020-05-18,219,87,2,
2020-05-19,233,87,2,
2020-05-20,244,89,3,
2020-05-21,271,89,4,1
2020-05-22,291,101,5,
2020-05-25,375,136,7,
2020-05-26,411,143,9,
2020-05-27,441,155,9,
2020-05-28,496,157,10,
2020-05-29,531,166,12,
2020-06-01,597,166,12,
2020-06-02,708,166,12,
