data,r0
2020-08-05,1.7086537434272726
2020-08-06,1.6094697756004523
2020-08-07,1.5788241005975905
2020-08-08,1.6034453201870609
2020-08-09,1.6655463490988978
2020-08-10,1.7526930565184542
2020-08-11,1.5511033286087608
2020-08-12,1.6357039440953134
2020-08-13,1.3898650144405649
2020-08-14,1.4767473230243073
2020-08-15,1.5973638418521263
2020-08-16,1.7757310710775498
2020-08-17,2.0222893471345746
2020-08-18,2.3537529558767822
2020-08-19,2.760871445601435
2020-08-20,4.0397074368238295
2020-08-21,4.7188126175488625
2020-08-22,5.319669619102439
2020-08-23,5.594256678808501
2020-08-24,5.453755006161365
2020-08-25,6.086325257875369
2020-08-26,8.299529883363112
2020-08-27,7.492145124955254
2020-08-28,6.403925147866551
2020-08-29,5.648806862471118
