data,r0
2020-07-31,2.7134200948891816
2020-08-01,2.207334840548568
2020-08-02,2.0479110637070317
2020-08-03,1.9152969990977873
2020-08-04,1.830138131632012
2020-08-05,2.2062430597845593
2020-08-06,1.5310115342430282
2020-08-07,1.5082739566948782
2020-08-08,1.4910769579720302
2020-08-09,1.488515224883761
2020-08-10,1.5112608141391644
2020-08-11,1.9914678061419353
2020-08-12,2.2939601710626016
2020-08-13,2.6029968623344097
2020-08-14,2.830985432557218
2020-08-15,3.179172029037076
2020-08-16,2.954707852371856
2020-08-17,2.667832579525714
2020-08-18,2.2021547209100225
2020-08-19,1.6570921586184986
2020-08-20,1.3578114349495949
2020-08-21,1.134053219794351
2020-08-22,1.8060375234177721
2020-08-23,1.7891964153522888
2020-08-24,1.8028397553532431
2020-08-25,1.6767743505278785
2020-08-26,1.9798352776159323
2020-08-27,1.9060437171607711
2020-08-28,2.0333432007667342
2020-08-29,1.2210677049120136
2020-08-30,1.1505876806150863
2020-08-31,1.09280663451506
2020-09-01,1.5019707238511348
2020-09-02,1.1513931833295734
2020-09-03,1.3425759544008278
2020-09-04,1.5400162555509398
