data,r0
2020-07-09,5.354909810967392
2020-07-10,4.225320733880592
2020-07-11,4.6068745560003
2020-07-12,3.570924611847823
2020-07-13,2.9361858963244902
2020-07-14,3.3119333155497
2020-07-15,2.5672815288784916
2020-07-16,2.2279915794597023
2020-07-17,1.98881652753589
2020-07-18,1.4933945164040787
2020-07-19,1.3353502945293079
2020-07-20,1.1969891322902417
2020-07-21,1.006477159340802
2020-07-22,1.1062169102780142
2020-07-23,1.3111757602192822
2020-07-24,1.6203301703347301
2020-07-25,1.9060777725294058
2020-07-26,1.8952096438291601
2020-07-27,1.8128281511525737
2020-07-28,1.7067311006012997
2020-07-29,1.56618308450543
2020-07-30,1.4239825967440047
2020-07-31,1.1364361715790092
2020-08-01,0.9381746221284033
2020-08-02,0.8830589935339594
2020-08-03,0.8750232512279539
2020-08-04,0.8318376085323973
2020-08-05,0.7488304629866005
2020-08-06,0.8926001443155618
2020-08-07,0.920702014596449
2020-08-08,1.2804112813959496
2020-08-09,1.3379926362561732
2020-08-10,1.3794186698452737
2020-08-11,1.234341004791941
2020-08-12,1.3254066324757696
2020-08-13,1.1924042062753395
2020-08-14,1.3929016694487526
2020-08-15,1.2392784900437068
