data,r0
2020-07-05,3.0072954186222858
2020-07-06,2.650114092718404
2020-07-07,1.7839387705003669
2020-07-08,1.5477350514358266
2020-07-09,1.6351135677018067
2020-07-10,1.1444408922258376
2020-07-11,1.384083918173913
2020-07-12,1.3485262136560279
2020-07-13,1.1934886017902293
2020-07-14,1.3931267591701937
2020-07-15,1.3869332372556524
2020-07-16,1.5185448887379556
2020-07-17,1.5036394460714986
2020-07-18,1.3453527009027166
2020-07-19,1.3794518942695815
2020-07-20,1.3415228847102114
2020-07-21,1.1229911585301533
2020-07-22,1.0388810036882414
2020-07-23,0.7853390303233189
2020-07-24,0.7854669318472326
2020-07-25,1.8368410859539073
2020-07-26,1.9042978400061688
2020-07-27,2.0327335992693216
2020-07-28,2.730850683170032
2020-07-29,2.7679594227036164
2020-07-30,2.8510940602213313
2020-07-31,2.413880702286281
2020-08-01,1.5389692013791652
2020-08-02,1.3375293161691502
2020-08-03,1.158059119849036
2020-08-04,0.8259415015280287
