data,r0
2020-08-05,1.5693904097755866
2020-08-06,1.4478601417355699
2020-08-07,1.1725268635400563
2020-08-08,1.19154390724085
2020-08-09,1.2493064613015452
2020-08-10,1.3513939429467712
2020-08-11,1.4922469309217177
2020-08-12,1.6742338857811538
2020-08-13,2.246994545218062
2020-08-14,2.512503020458164
2020-08-15,2.747271782195517
2020-08-16,3.3757872479904885
2020-08-17,3.4211169959383914
2020-08-18,3.3502713362988574
2020-08-19,3.1645796476284254
2020-08-20,2.532089874945854
2020-08-21,2.3321915073061414
2020-08-22,2.1896673015001373
2020-08-23,1.7591976292362588
2020-08-24,1.738451509444004
2020-08-25,2.0970339189530165
2020-08-26,2.178717683327372
2020-08-27,2.293429097644898
2020-08-28,2.394650323642033
2020-08-29,2.4779162045736833
2020-08-30,2.5176172621345967
2020-08-31,2.527590523437167
2020-09-01,2.5145320127620767
