data,tendencia,confirmados
2020-04-16,1.0,1.0
2020-04-20,1.2824687863334567,2.0
2020-04-23,1.6021966414696933,5.0
2020-04-24,1.9640025326261656,6.0
2020-04-25,2.373222019425703,7.0
2020-04-27,2.836707404212754,9.0
2020-04-28,3.3613058212708817,10.0
2020-05-02,3.9551589067308184,10.0
2020-05-03,4.627303549959125,12.0
2020-05-05,5.387959564586488,13.0
2020-05-06,6.248753294637659,13.0
2020-05-09,7.223002864401616,19.0
2020-05-10,8.325671678748693,20.0
2020-05-13,9.573673318029138,21.0
2020-05-15,10.98613882517363,30.0
2020-05-17,12.584533567668196,29.0
2020-05-19,14.39340620795171,31.0
2020-05-20,16.440289660007142,34.0
2020-05-22,18.756485904347194,37.0
2020-05-25,21.377174993907566,38.0
2020-05-30,24.342314547521884,39.0
2020-05-31,27.696816112240604,39.0
2020-06-03,31.491681983417447,41.0
2020-06-05,35.78450783891779,39.0
2020-06-06,40.64017465650487,40.0
2020-06-08,46.13173244536155,41.0
2020-06-12,52.34187688801824,42.0
2020-06-14,59.363528618447596,43.0
2020-06-16,67.3011189246622,44.0
2020-06-17,72.55404582186716,45.0
2020-06-19,77.2374570953353,48.0
2020-06-20,81.93058253977729,53.0
2020-06-25,86.63325955961469,54.0
2020-06-27,91.34532862135701,63.0
2020-06-29,96.0666342714759,69.0
2020-06-30,100.79701837219267,91.0
2020-07-01,105.53631967603194,93.0
2020-07-02,110.28437394083322,94.0
2020-07-04,115.04101559031848,98.0
2020-07-05,119.80608935974755,102.0
2020-07-06,124.57941886605894,119.0
2020-07-07,129.3608402178106,125.0
2020-07-08,134.15018425675987,134.0
2020-07-09,138.947280544771,141.0
2020-07-10,143.75195947107647,147.0
2020-07-11,148.56405001729928,149.0
2020-07-12,153.3833797574525,152.0
2020-07-14,158.2097748579397,159.0
2020-07-15,163.04306007755463,162.0
2020-07-16,167.88305876748126,169.0
2020-07-17,172.72959287129402,170.0
2020-07-19,177.58248292495745,188.0
2020-07-20,182.4415505268827,192.0
2020-07-21,187.30662156736605,193.0
2020-07-22,192.1775156353353,205.0
2020-07-23,197.05405080435798,218.0
2020-07-24,201.93604399166801,219.0
2020-07-25,206.82331095816565,224.0
2020-07-26,211.7156663084177,225.0
2020-07-28,216.6129234906572,226.0
2020-07-29,221.51489479678366,246.0
2020-07-30,226.42139136236304,249.0
2020-07-31,231.33222395694648,250.0
2020-08-01,236.2472137208178,251.0
2020-08-02,241.16617616772936,254.0
2020-08-03,246.08892285699244,265.0
2020-08-04,251.01526460495697,268.0
2020-08-05,255.9450114850115,279.0
2020-08-06,260.87797282758333,288.0
2020-08-07,265.8139572201385,289.0
2020-08-09,270.75277250718165,311.0
2020-08-10,275.69422579025616,314.0
2020-08-12,280.63812342794415,315.0
2020-08-13,285.5842759749067,320.0
2020-08-14,290.5324968279733,324.0
2020-08-15,295.4825935990321,338.0
2020-08-16,300.43437342177646,339.0
2020-08-17,305.3876429791919,369.0
2020-08-18,310.342208503556,373.0
2020-08-19,315.2978757764384,375.0
2020-08-20,320.2544501287009,376.0
2020-08-21,325.2117364404974,388.0
2020-08-22,330.16953914127384,389.0
2020-08-23,335.1276407182396,389.0
2020-08-25,340.08591075273046,399.0
2020-08-26,345.0441207827289,406.0
2020-08-27,350.0020783353339,408.0
2020-08-29,354.9595905625498,433.0
2020-08-30,359.91646427112596,436.0
2020-08-31,364.87250595239567,437.0
2020-09-01,369.8275218121158,438.0
2020-09-02,374.78131780030594,441.0
2020-09-03,379.7336996410878,443.0
2020-09-04,384.68447297683974,444.0
2020-09-05,389.6334510091292,445.0
2020-09-06,394.58044602586637,448.0
2020-09-09,399.525266639746,450.0
2020-09-10,404.46772175363986,451.0
2020-09-11,409.4076206059498,460.0
2020-09-12,414.3447728159627,465.0
2020-09-13,419.2789884292042,468.0
2020-09-14,424.21007796279315,470.0
2020-09-16,429.13785245079504,477.0
2020-09-17,434.06212348957695,488.0
2020-09-18,438.98270328316084,490.0
2020-09-19,443.8994046885783,494.0
2020-09-20,448.8120412612244,496.0
2020-09-21,453.7204273002116,498.0
2020-09-23,458.6243778345497,498.0
2020-09-24,463.52370864047026,499.0
2020-09-26,468.4182364664717,502.0
2020-09-28,473.30777898403346,508.0
2020-09-29,478.1921548294639,509.0
2020-09-30,483.0711836490214,511.0
2020-10-01,487.9446861440358,512.0
2020-10-03,492.8124841160301,520.0
2020-10-04,497.6744005118409,522.0
2020-10-05,502.53025946874055,526.0
2020-10-08,507.379886359558,531.0
2020-10-12,512.2231078378004,531.0
2020-10-14,517.0597518827738,532.0
2020-10-15,521.8896478447051,533.0
2020-10-16,526.7126250495752,535.0
2020-10-17,531.5285045306717,536.0
2020-10-18,536.3371146365237,537.0
2020-10-20,541.1382866134661,539.0
2020-10-21,545.9318528884113,541.0
2020-10-23,550.7176470966181,542.0
2020-10-24,555.4955041094616,543.0
2020-10-25,560.2652600622037,544.0
2020-10-28,565.0267523817606,545.0
2020-10-30,569.7798198144752,546.0
2020-10-31,574.5243024538845,553.0
2020-11-01,579.2600417684903,555.0
2020-11-03,583.9868806295289,556.0
2020-11-06,588.7046633387403,559.0
2020-11-07,593.413235622596,561.0
2020-11-10,598.1124419878696,562.0
2020-11-13,602.8021286463355,563.0
2020-11-18,607.482144659599,565.0
2020-11-20,612.1523405283224,566.0
2020-11-21,616.8125682144804,567.0
2020-11-24,621.4626811636174,574.0
2020-11-25,626.1025343271043,577.0
2020-11-26,630.7319841843944,578.0
2020-11-30,635.3508887652806,590.0
2020-12-01,639.9591076721517,592.0
2020-12-02,644.5565021022494,593.0
2020-12-04,649.1429348699249,595.0
2020-12-05,653.7182704288948,596.0
2020-12-06,658.2823748944987,606.0
2020-12-08,662.8351147497659,607.0
2020-12-09,667.3763561143469,628.0
2020-12-10,671.9059689745334,645.0
2020-12-11,676.4238250278082,646.0
2020-12-13,680.9297976145145,647.0
2020-12-15,685.4237617347621,654.0
2020-12-16,689.9055940653299,660.0
2020-12-17,694.3751729765702,670.0
2020-12-18,698.8323785493145,677.0
2020-12-19,703.2770925917761,684.0
2020-12-20,707.7091986564551,687.0
2020-12-21,712.1285820570428,688.0
2020-12-22,716.5351298853252,699.0
2020-12-23,720.9287310280885,702.0
2020-12-24,725.309323282212,717.0
2020-12-30,729.6766854759451,728.0
2020-12-31,734.030776482931,729.0
2021-01-02,738.3714903304862,729.0
2021-01-05,742.698722916796,730.0
2021-01-06,747.0123720109148,730.0
2021-01-07,751.3123372527655,737.0
2021-01-08,755.5985201531403,740.0
2021-01-09,759.8708240937003,750.0
2021-01-10,764.1291543269755,751.0
2021-01-13,768.3734179763646,755.0
2021-01-14,772.6035240361359,768.0
2021-01-15,776.8193833714258,770.0
2021-01-16,781.0209087182402,785.0
2021-01-17,785.2080146685781,794.0
2021-01-18,789.3806160365237,nan
2021-01-19,793.538628873832,nan
2021-01-20,797.6819715060524,nan
2021-01-21,801.8105638285012,nan
2021-01-22,805.9243274749988,nan
2021-01-23,810.0231871687992,nan
2021-01-24,814.1070689595327,nan
2021-01-25,818.1759004645942,nan
2021-01-26,822.2296110892848,nan
2021-01-27,826.268131826906,nan
2021-01-28,830.2913949736933,nan
2021-01-29,834.2993348076341,nan
2021-01-30,838.2918873298212,nan
2021-01-31,842.2689902485046,nan
2021-02-01,846.2305828646339,nan
2021-02-02,850.176606134308,nan
2021-02-03,854.1070027532173,nan
2021-02-04,858.0217171030548,nan
2021-02-05,861.9206724562019,nan
2021-02-06,865.8038768946709,nan
2021-02-07,869.6712329829215,nan
2021-02-08,873.5226962608473,nan
2021-02-09,877.3582222683418,nan
2021-02-10,881.1777671543549,nan
2021-02-11,884.9812884895623,nan
2021-02-12,888.7687428534002,nan
2021-02-13,892.5400867613685,nan
2021-02-14,896.2952795095453,nan
2021-02-15,900.0342888068808,nan
2021-02-16,903.7570770561088,nan
2021-02-17,907.463606127096,nan
2021-02-18,911.1538405776431,nan
2021-02-19,914.8277554559301,nan
2021-02-20,918.485319846404,nan
2021-02-21,922.1265019470713,nan
2021-02-22,925.75128162738,nan
2021-02-23,929.3596135531112,nan
2021-02-24,932.9514947832116,nan
2021-02-25,936.5268966332962,nan
2021-02-26,940.0857936882301,nan
2021-02-27,943.6281724832703,nan
2021-02-28,947.1540143627923,nan
2021-03-01,950.6633007644577,nan
2021-03-02,954.1560149333804,nan
2021-03-03,957.6321419221265,nan
2021-03-04,961.091668590714,nan
2021-03-05,964.534583606613,nan
2021-03-06,967.9608774447461,nan
2021-03-07,971.3705423874878,nan
2021-03-08,974.7635725246648,nan
2021-03-09,978.139963753556,nan
2021-03-10,981.4997123164933,nan
2021-03-11,984.8428080802555,nan
2021-03-12,988.1692481109388,nan
2021-03-13,991.4790323351698,nan
2021-03-14,994.7721622582964,nan
2021-03-15,998.0486409643881,nan
2021-03-16,1001.308473116236,nan
2021-03-17,1004.5516649553525,nan
2021-03-18,1007.7782243019719,nan
2021-03-19,1010.9881605550494,nan
2021-03-20,1014.1814846922622,nan
2021-03-21,1017.3582092700088,nan
2021-03-22,1020.5183460238543,nan
2021-03-23,1023.6618956453698,nan
2021-03-24,1026.7888689226675,nan
2021-03-25,1029.89927975098,nan
2021-03-26,1032.993143248983,nan
2021-03-27,1036.0704757587955,nan
2021-03-28,1039.131294845978,nan
2021-03-29,1042.1756192995344,nan
2021-03-30,1045.203469131912,nan
2021-03-31,1048.2148655789993,nan
2021-04-01,1051.2098311001291,nan
2021-04-02,1054.1883893780755,nan
2021-04-03,1057.1505641559077,nan
2021-04-04,1060.096374644784,nan
2021-04-05,1063.0258452546962,nan
2021-04-06,1065.939002273394,nan
2021-04-07,1068.8358730488155,nan
2021-04-08,1071.7164859890881,nan
2021-04-09,1074.5808705625266,nan
2021-04-10,1077.4290572976354,nan
2021-04-11,1080.2610777831064,nan
2021-04-12,1083.0769646678211,nan
2021-04-13,1085.8767516608484,nan
2021-04-14,1088.6604735314463,nan
2021-04-15,1091.4281876781617,nan
2021-04-16,1094.1798698383432,nan
2021-04-17,1096.9155888558764,nan
2021-04-18,1099.6353806954219,nan
2021-04-19,1102.3392823461984,nan
2021-04-20,1105.0273318079949,nan
2021-04-21,1107.6995680771847,nan
2021-04-22,1110.3560311327374,nan
2021-04-23,1112.9967619222325,nan
2021-04-24,1115.6218023478707,nan
2021-04-25,1118.2311952524888,nan
2021-04-26,1120.824984405571,nan
2021-04-27,1123.4032130616768,nan
2021-04-28,1125.9659192751171,nan
2021-04-29,1128.5131467349484,nan
2021-04-30,1131.0449406444275,nan
2021-05-01,1133.561346885328,nan
2021-05-02,1136.0624119979054,nan
2021-05-03,1138.548183160863,nan
2021-05-04,1141.0187081713193,nan
2021-05-05,1143.474035424776,nan
2021-05-06,1145.9142138950815,nan
2021-05-07,1148.339293114402,nan
2021-05-08,1150.7493231531837,nan
2021-05-09,1153.1443546001228,nan
2021-05-10,1155.5244385421308,nan
2021-05-11,1157.8896265443009,nan
2021-05-12,1160.2399706298759,nan
2021-05-13,1162.5755232602137,nan
2021-05-14,1164.8963373147553,nan
2021-05-15,1167.2024660258955,nan
2021-05-16,1169.4939628554525,nan
2021-05-17,1171.7708817503167,nan
2021-05-18,1174.033277006697,nan
2021-05-19,1176.2812032341196,nan
2021-05-20,1178.5147153352352,nan
2021-05-21,1180.7338684856313,nan
2021-05-22,1182.9387181136437,nan
2021-05-23,1185.1293198801666,nan
2021-05-24,1187.3057296584639,nan
2021-05-25,1189.4680035139793,nan
2021-05-26,1191.616197684149,nan
2021-05-27,1193.7503685582105,nan
2021-05-28,1195.870572657015,nan
2021-05-29,1197.9768666128373,nan
2021-05-30,1200.069307149188,nan
2021-05-31,1202.1479510606232,nan
2021-06-01,1204.212855192555,nan
2021-06-02,1206.264079285775,nan
2021-06-03,1208.301690350944,nan
2021-06-04,1210.325748556592,nan
2021-06-05,1212.3363136781488,nan
2021-06-06,1214.3334456842335,nan
2021-06-07,1216.3172047246896,nan
2021-06-08,1218.2876511186137,nan
2021-06-09,1220.2448453423917,nan
2021-06-10,1222.188848017729,nan
2021-06-11,1224.1197198996829,nan
2021-06-12,1226.0375218646961,nan
2021-06-13,1227.9423148986284,nan
2021-06-14,1229.8341600847882,nan
2021-06-15,1231.7131185919675,nan
2021-06-16,1233.579251662471,nan
2021-06-17,1235.4326206001522,nan
2021-06-18,1237.2732867584416,nan
2021-06-19,1239.1013115283822,nan
2021-06-20,1240.916757339958,nan
2021-06-21,1242.7196885893177,nan
2021-06-22,1244.5101676354998,nan
2021-06-23,1246.2882567781044,nan
2021-06-24,1248.0540183672208,nan
2021-06-25,1249.8075147939126,nan
2021-06-26,1251.5488084807027,nan
2021-06-27,1253.277961872058,nan
2021-06-28,1254.9950374248742,nan
2021-06-29,1256.7000975989608,nan
2021-06-30,1258.393204847526,nan
2021-07-01,1260.0744216076619,nan
2021-07-02,1261.743810290829,nan
2021-07-03,1263.4014332733416,nan
2021-07-04,1265.0473528868522,nan
2021-07-05,1266.681631408836,nan
2021-07-06,1268.3043310530777,nan
2021-07-07,1269.9155139601535,nan
2021-07-08,1271.5152431138024,nan
2021-07-09,1273.1035827321248,nan
2021-07-10,1274.680595368696,nan
2021-07-11,1276.2463434645322,nan
2021-07-12,1277.8008893967353,nan
2021-07-13,1279.3442954708921,nan
2021-07-14,1280.8766239134752,nan
2021-07-15,1282.3979368642397,nan
2021-07-16,1283.9082963686233,nan
