data,confirmados,recuperados,mortes,isolamento,restricao,uti,
2020-04-04,4,0,0,,,,
2020-04-05,5,0,0,,,,
2020-04-06,5,0,0,,,,			
2020-04-07,5,0,0,,,,			
2020-04-08,5,0,0,,,,			
2020-04-09,11,0,0,,,,
2020-04-10,11,0,0,,,,			
2020-04-11,11,0,0,,,,			
2020-04-12,11,0,0,,,,			
2020-04-13,13,0,0,,,,
2020-04-14,13,0,0,,,,			
2020-04-15,14,0,0,,,,
2020-04-16,14,5,0,,,,
2020-04-17,15,5,0,,,,
2020-04-18,16,6,0,,,,
2020-04-19,16,6,1,,,,
2020-04-20,18,7,1,,,,
2020-04-21,18,7,1,,,,
2020-04-22,18,7,1,,,,
2020-04-23,19,9,1,,,,
2020-04-24,21,9,1,,,,
2020-04-25,24,9,1,,,,
2020-04-26,25,9,1,,,,
2020-04-27,28,11,1,,,,
2020-04-28,30,11,2,,,,
2020-04-29,30,11,2,,,,
2020-04-30,35,12,2,,,,
2020-05-01,35,13,2,,,,
2020-05-02,35,13,2,,,,			
2020-05-03,37,14,1,,,,
2020-05-04,53,14,2,,,,
2020-05-05,99,15,2,,,,
2020-05-06,121,15,2,,,,
2020-05-07,135,16,2,,,,
2020-05-08,135,18,2,,,,
2020-05-09,136,18,2,,,,
2020-05-10,136,18,2,,,,		
2020-05-11,151,19,3,,,,
2020-05-12,155,19,3,,,,
2020-05-13,158,19,3,,,,
2020-05-14,160,22,4,,,,
2020-05-15,162,33,5,,,,
2020-05-16,165,34,5,,,,
2020-05-17,166,34,5,,,,
2020-05-18,167,37,5,,,,
2020-05-19,172,98,5,,,,
2020-05-20,172,102,5,,,,
2020-05-21,176,110,5,,,,
2020-05-22,176,110,5,,,,			
2020-05-23,184,114,5,,,,
2020-05-24,188,114,5,,,,
2020-05-25,193,116,5,,,,
2020-05-26,196,119,5,,,,
2020-05-27,203,123,6,,,,
2020-05-28,208,128,6,,,,
2020-05-29,215,138,6,,,,
2020-05-30,226,150,6,,,,
2020-05-31,229,154,6,,,,
2020-06-01,241,159,7,,,,
2020-06-02,246,160,7,,,,
2020-06-03,257,162,7,,,,
2020-06-04,275,171,7,,,,
2020-06-05,289,174,7,,,,
2020-06-06,343,214,7,,,,
2020-06-07,355,216,7,,,,
2020-06-08,369,226,7,,,,
2020-06-09,395,227,7,,,,
2020-06-10,413,229,7,,,,
2020-06-11,429,238,7,,,,
2020-06-12,449,294,7,,,,
2020-06-13,468,303,7,,,,
2020-06-14,470,305,7,,,,
2020-06-15,473,330,7,,,,
2020-06-16,495,341,8,,,,
2020-06-17,496,363,8,,,,
2020-06-18,519,381,8,,,,
2020-06-19,537,405,8,,,,
2020-06-20,549,411,8,,,,
2020-06-21,564,416,8,,,,
2020-06-22,581,429,8,,,,
2020-06-23,596,438,8,,,,
2020-06-24,618,445,8,,,,
2020-06-25,634,454,8,,,,
2020-06-26,661,501,8,,,,
2020-06-27,685,525,8,,,,
2020-06-28,702,548,8,,,,
2020-06-29,707,553,8,,,,
2020-06-30,712,557,8,,,,
2020-07-01,727,561,8,,,,
2020-07-02,738,571,8,,,,
2020-07-03,787,589,8,,,,
2020-07-04,793,602,8,,,,
2020-07-05,796,614,8,,,,
2020-07-06,804,625,8,,,,
2020-07-07,824,642,8,,,,
2020-07-08,848,659,8,,,,
2020-07-09,869,706,9,,,,
2020-07-10,891,718,9,,,,
2020-07-11,913,725,9,,,,
2020-07-12,936,735,10,,,,
2020-07-13,960,758,11,,,,
2020-07-14,985,775,11,,,,
2020-07-15,1006,805,12,,,,
2020-07-16,1030,830,12,,,,
2020-07-17,1057,855,12,,,,
2020-07-18,1083,878,12,,,,
2020-07-19,1108,900,12,,,,
2020-07-20,1127,915,12,,,,
2020-07-21,1152,923,13,,,,
2020-07-22,1179,971,14,,,,
2020-07-23,1206,1000,14,,,,
2020-07-24,1235,1023,14,,,,
2020-07-25,1261,1049,14,,,,
2020-07-26,1285,1091,16,,,,
2020-07-27,1285,1091,16,,,,
2020-07-28,1341,1130,16,,,,
2020-07-29,1366,1197,17,,,,
2020-07-30,1394,1222,18,,,,
2020-07-31,1419,1258,18,,,,
2020-08-01,1438,1283,19,,,,
2020-08-02,1453,1310,19,,,,
2020-08-03,1482,1329,19,,,,
2020-08-04,1509,1350,20,,,,
2020-08-05,1516,1398,20,,,,
2020-08-06,1519,1424,20,,,,
2020-08-07,1534,1456,20,,,,
2020-08-08,1544,1468,21,,,,
2020-08-09,1547,1470,21,,,,
2020-08-10,1561,1479,21,,,,
