data,r0
2020-06-21,2.848371239089286
2020-06-22,2.983635724899738
2020-06-23,2.9261750136801643
2020-06-24,2.4295592323543724
2020-06-25,2.040049041589052
2020-06-26,1.6369250147208354
2020-06-27,1.3930867399604026
2020-06-28,1.9622192156003375
2020-06-29,1.9976690443678162
2020-06-30,1.7785234282684486
2020-07-01,2.0832492244741823
2020-07-02,2.8105049935622404
2020-07-03,2.8939567276022413
2020-07-04,2.6369156123351503
2020-07-05,2.283435399044933
2020-07-06,2.0236404477265175
2020-07-07,1.765319650771167
2020-07-08,1.6309014071115266
2020-07-09,1.1735081004010537
2020-07-10,1.3715457989682365
2020-07-11,1.3931245996227346
2020-07-12,1.3194501104277494
2020-07-13,1.2821696858513076
2020-07-14,1.3363081245750557
2020-07-15,1.3414018122704148
2020-07-16,1.3469373472903765
2020-07-17,0.9411831634202344
2020-07-18,0.991648355702396
