data,r0
2020-06-22,1.8353409659809423
2020-06-23,1.7462710009839348
2020-06-24,2.2209953100437003
2020-06-25,1.893000924986596
2020-06-26,1.7932114224221025
2020-06-27,3.054648857381541
2020-06-28,2.796131142214946
2020-06-29,2.5724113623363456
2020-06-30,2.5324816367162373
2020-07-01,1.7265804947384271
2020-07-02,1.4639145584955517
2020-07-03,1.8905779699866343
2020-07-04,1.0059647878203761
2020-07-05,1.0164713289784177
2020-07-06,0.9717168808857019
2020-07-07,0.8150534256222223
2020-07-08,0.8144548446605208
2020-07-09,0.7605259717753543
2020-07-10,0.3950200004834792
2020-07-11,0.8219113453319983
2020-07-12,0.8326924791980593
2020-07-13,0.9387574367278677
2020-07-14,1.0127894303183538
2020-07-15,0.9824652810159221
2020-07-16,1.2877807246280213
2020-07-17,1.2785882314572148
2020-07-18,0.8177631041365513
2020-07-19,0.9313422143907258
2020-07-20,0.8231089353638196
2020-07-21,0.7793083704078401
2020-07-22,1.0293213775039418
2020-07-23,0.9589081826134072
2020-07-24,0.8850360617081631
2020-07-25,0.9299419347190501
2020-07-26,0.764852974490315
2020-07-27,0.9450561022185557
2020-07-28,1.2180548571963672
2020-07-29,1.2873794949547697
2020-07-30,1.4383037370144616
2020-07-31,1.8381598649122572
2020-08-01,1.8549042123652781
2020-08-02,2.006678928365796
2020-08-03,1.8407676890678135
2020-08-04,1.4960946476195467
2020-08-05,1.1023845454320442
2020-08-06,0.829633316122814
2020-08-07,0.5993814946762401
2020-08-08,0.6597345687687918
2020-08-09,0.611968620305405
2020-08-10,0.7243197814788538
2020-08-11,0.6353325732528051
2020-08-12,0.7033494840335118
2020-08-13,0.8841629473718525
2020-08-14,0.9907807220882205
2020-08-15,1.110464581391161
