data,r0
2020-10-08,3.6690957708763854
2020-10-09,3.5324128228458465
2020-10-10,3.0911162775757792
2020-10-11,2.738406787858367
2020-10-12,1.7189980372872926
2020-10-13,1.5554083030679327
2020-10-14,1.4449912129330647
2020-10-15,1.1979189913480894
2020-10-16,1.3976951571045926
2020-10-17,1.4400221973364036
2020-10-18,1.5233510807665185
2020-10-19,2.290838355321921
2020-10-20,2.415115938051116
2020-10-21,2.7424933680638746
2020-10-22,2.950440517575743
2020-10-23,2.3350420527751266
2020-10-24,2.136710594191739
2020-10-25,1.9447296159673089
2020-10-26,1.4357439243649217
2020-10-27,1.3546182549512646
2020-10-28,1.306728155194791
2020-10-29,1.1423537437749387
2020-10-30,1.1639043793010975
2020-10-31,1.2026391370454474
2020-11-01,2.1684694915121923
