data,r0
2020-08-06,1.914622946854866
2020-08-07,1.6584841351857271
2020-08-08,1.4949302705876013
2020-08-09,1.392825436020976
2020-08-10,1.3283750432508077
2020-08-11,1.1463827713243242
2020-08-12,1.1977906058115264
2020-08-13,0.5629180531319187
2020-08-14,0.5652281299364127
2020-08-15,0.5772756176715622
2020-08-16,0.8330160904706632
2020-08-17,0.9848997423359129
2020-08-18,0.9103439596005988
2020-08-19,1.007903417149802
2020-08-20,1.0981867754335437
2020-08-21,1.295692236674733
2020-08-22,1.9926134896570398
2020-08-23,1.697961374511477
2020-08-24,1.597794079521734
2020-08-25,1.5703527878159647
2020-08-26,1.3933698207576144
2020-08-27,1.350124358473576
2020-08-28,1.2037255836483636
2020-08-29,0.6023067239023567
2020-08-30,0.6057692173457829
2020-08-31,0.6256515938897117
2020-09-01,0.672782937984554
2020-09-02,0.7491395592272664
2020-09-03,0.8638693762832285
2020-09-04,1.0114032007673803
2020-09-05,1.2015283176216276
2020-09-06,1.4285386338300055
2020-09-07,1.6833841750969676
2020-09-08,1.9556152356832535
2020-09-09,2.20971215725444
2020-09-10,2.9459825612115713
2020-09-11,3.190043044151398
2020-09-12,3.3522931663217594
2020-09-13,3.384280186962023
2020-09-14,3.8270172505572515
