data,tendencia,confirmados
2020-04-01,1.0,1.0
2020-04-02,1.5483300313558606,2.0
2020-04-03,2.3064587697832364,4.0
2020-04-08,3.3534449270776774,5.0
2020-04-29,4.803947530054814,7.0
2020-04-30,6.811189896580377,8.0
2020-05-01,9.588800039392932,9.0
2020-05-04,13.430399762013668,10.0
2020-05-05,18.746427312145777,13.0
2020-05-09,25.100007685781154,14.0
2020-05-13,28.557199511832387,18.0
2020-05-15,32.200708339471106,25.0
2020-05-16,36.04229516737801,34.0
2020-05-19,40.09126051690423,35.0
2020-05-20,44.359790380729095,40.0
2020-05-21,48.861106126545664,43.0
2020-05-22,53.60734377219474,48.0
2020-05-23,58.61110318345314,60.0
2020-05-24,63.886760155180255,66.0
2020-05-25,69.44916495099443,77.0
2020-05-26,75.31235906311733,82.0
2020-05-27,81.49418297213234,84.0
2020-05-28,88.01087573325155,98.0
2020-05-30,94.88080375357532,111.0
2020-05-31,102.1230153491176,112.0
2020-06-01,109.75765455292984,113.0
2020-06-02,117.80576053974207,115.0
2020-06-03,126.28966059202543,144.0
2020-06-04,135.2328473431267,152.0
2020-06-06,144.66000592030395,164.0
2020-06-07,154.59696672429504,173.0
2020-06-08,165.07086442575024,176.0
2020-06-09,176.1107424836605,187.0
2020-06-10,187.74680045815091,191.0
2020-06-11,200.01058568851704,194.0
2020-06-12,212.93613133528498,201.0
2020-06-13,226.55847708196916,214.0
2020-06-14,240.9144952804454,227.0
2020-06-15,256.0434951079606,245.0
2020-06-16,271.98657610627055,278.0
2020-06-17,288.78673885840755,283.0
2020-06-18,306.4891411063149,293.0
2020-06-19,325.14148479123696,318.0
2020-06-20,344.79400174666705,337.0
2020-06-21,365.49947261388013,358.0
2020-06-22,387.31344041012585,374.0
2020-06-23,410.2941141227727,395.0
2020-06-24,434.5024485734955,415.0
2020-06-25,460.0025573090458,445.0
2020-06-26,486.8616914129979,484.0
2020-06-27,515.1504592932224,529.0
2020-06-28,544.9431175885218,534.0
2020-06-29,576.3173943124083,571.0
2020-06-30,609.354726712001,599.0
2020-07-01,644.1404693555357,633.0
2020-07-02,680.7643494245142,686.0
2020-07-03,719.320208171632,721.0
2020-07-04,759.9062443728512,722.0
2020-07-05,802.6252104211416,816.0
2020-07-06,847.5848028697292,855.0
2020-07-07,894.8975973950008,901.0
2020-07-08,944.6812121092731,933.0
2020-07-09,997.0585101968659,1027.0
2020-07-10,1052.157895233735,1053.0
2020-07-12,1110.1134047913038,1154.0
2020-07-13,1171.0648265490133,nan
2020-07-14,1235.157906493764,nan
2020-07-15,1302.5444571340147,nan
2020-07-16,1373.3825158782329,nan
2020-07-17,1447.8365861227112,nan
2020-07-18,1526.0777669244967,nan
2020-07-19,1608.283719952704,nan
2020-07-20,1694.6385194395739,nan
2020-07-21,1785.333348516928,nan
2020-07-22,1880.5664366839628,nan
2020-07-23,1980.5430440790642,nan
2020-07-24,2085.47477420513,nan
2020-07-25,2195.580149548812,nan
2020-07-26,2311.0845986680315,nan
2020-07-27,2432.2204548919044,nan
2020-07-28,2559.226815700219,nan
2020-07-29,2692.348816362429,nan
2020-07-30,2831.8379605362425,nan
2020-07-31,2977.951664222636,nan
2020-08-01,3130.952645478526,nan
2020-08-02,3291.1090992402733,nan
2020-08-03,3458.6935274763773,nan
2020-08-04,3633.9827101032893,nan
2020-08-05,3817.25702057539,nan
2020-08-06,4008.7991059871265,nan
2020-08-07,4208.894084867602,nan
2020-08-08,4417.82768545967,nan
2020-08-09,4635.885770680994,nan
2020-08-10,4863.353487843104,nan
2020-08-11,5100.513075592558,nan
2020-08-12,5347.643879297952,nan
2020-08-13,5605.019974449666,nan
2020-08-14,5872.908897474326,nan
2020-08-15,6151.570701916091,nan
2020-08-16,6441.255000207315,nan
2020-08-17,6742.200467534478,nan
2020-08-18,7054.632324006398,nan
2020-08-19,7378.760172548093,nan
2020-08-20,7714.77688378647,nan
2020-08-21,8062.855500647765,nan
2020-08-22,8423.147833716099,nan
2020-08-23,8795.782318553132,nan
2020-08-24,9180.861469913327,nan
2020-08-25,9578.46011322869,nan
2020-08-26,9988.623434621022,nan
2020-08-27,10411.364931466638,nan
2020-08-28,10846.663785432043,nan
2020-08-29,11294.464318676135,nan
2020-08-30,11754.674003274466,nan
2020-08-31,12227.161084387899,nan
2020-09-01,12711.754692325747,nan
2020-09-02,13208.243093452029,nan
2020-09-03,13716.372489863477,nan
2020-09-04,14235.847750668256,nan
2020-09-05,14766.331257306767,nan
