data,r0
2020-07-23,0.7358468593953781
2020-07-24,0.685985942529525
2020-07-25,0.6821950732302564
2020-07-26,0.7234851975571024
2020-07-27,0.8038018739695701
2020-07-28,0.928212223121688
2020-07-29,1.0879069479959862
2020-07-30,1.5454401650295395
2020-07-31,1.8325534455991306
2020-08-01,2.1249157253052857
2020-08-02,2.382478294534021
2020-08-03,2.972986972451666
2020-08-04,3.067187721016929
2020-08-05,3.057696548697056
2020-08-06,2.5290820457667786
2020-08-07,2.392399573077776
2020-08-08,2.258993718158388
2020-08-09,2.1833215971949653
2020-08-10,1.7901822752995684
2020-08-11,1.7885061414505552
2020-08-12,1.820589988172213
2020-08-13,1.890283077905604
2020-08-14,1.9995669516056043
2020-08-15,2.1405195370915466
2020-08-16,2.30508481283572
2020-08-17,2.958920036509247
2020-08-18,3.1558794596756483
2020-08-19,3.2881229970490136
2020-08-20,3.3149857436349577
2020-08-21,3.764380286190717
2020-08-22,4.107784935136303
2020-08-23,3.8686799066620536
2020-08-24,3.1191012477151254
2020-08-25,3.2002815291907565
2020-08-26,2.875616014991088
2020-08-27,2.9435231574707013
