data,r0
2020-09-29,3.377688317803233
2020-09-30,3.0114237674959683
2020-10-01,2.6916789002680352
2020-10-02,2.4339837524069954
2020-10-03,1.6945750939596962
2020-10-04,1.5890918263578306
2020-10-05,1.283294084835512
2020-10-06,1.2712668150839324
2020-10-07,1.5656578828552827
2020-10-08,1.947332248526775
2020-10-09,2.1076025312822946
2020-10-10,2.277033045208539
2020-10-11,2.388159999783983
2020-10-12,2.4192076950271857
2020-10-13,2.400733558927337
2020-10-14,2.335839460391612
2020-10-15,3.2226704090884315
2020-10-16,3.128320758722545
2020-10-17,3.001371994183079
2020-10-18,2.7909353299778754
2020-10-19,2.537218119256424
2020-10-20,2.293369408786803
2020-10-21,1.8852518927823465
2020-10-22,1.5541560776594676
2020-10-23,1.6490412362696327
2020-10-24,1.5958714417196904
2020-10-25,1.578848150140104
2020-10-26,1.5804308745033357
2020-10-27,1.770535084752725
2020-10-28,3.541097408799771
2020-10-29,3.1889064558339344
2020-10-30,2.8957704620094393
2020-10-31,2.5982775176821957
2020-11-01,2.2586910662422963
2020-11-02,1.9676689084854895
2020-11-03,1.6486229604584206
2020-11-04,0.5710831189755055
2020-11-05,0.44719192782376666
2020-11-06,0.5200712485822816
2020-11-07,0.5344544232828812
2020-11-08,0.5781727492004717
2020-11-09,0.6530582918944589
2020-11-10,0.7584302169747602
2020-11-11,1.1863011248914723
2020-11-12,1.9179654347091597
2020-11-13,2.6336424305947626
2020-11-14,2.913941835567522
2020-11-15,2.9571482364284654
2020-11-16,2.7571001157189086
2020-11-17,2.8267093542462254
2020-11-18,2.1639278147688374
2020-11-19,1.486000035735533
2020-11-20,0.9440232758051527
2020-11-21,0.8783529203209277
2020-11-22,0.853964032994162
2020-11-23,0.8717569642929965
2020-11-24,0.6634699800048368
2020-11-25,1.1461776031377309
2020-11-26,1.43278035032875
2020-11-27,1.7824238816955345
2020-11-28,2.1689179582597697
2020-11-29,2.299051159791554
2020-11-30,2.3202796277347724
2020-12-01,2.2344847848130036
2020-12-02,1.531123521224167
2020-12-03,2.6544415074395666
2020-12-04,2.510841044827349
2020-12-05,2.234804366995977
2020-12-06,2.2458105264517716
2020-12-07,2.0698114827596346
2020-12-08,1.9086993953780553
2020-12-09,1.8789581375898943
2020-12-10,1.2098860697153149
2020-12-11,1.0390267690245312
2020-12-12,1.1931501713347374
2020-12-13,1.080380425769463
2020-12-14,1.2906190003372568
2020-12-15,1.43054329172851
2020-12-16,1.4766607917073
2020-12-17,1.2985348298976782
2020-12-18,1.4169029286010555
2020-12-19,1.8469553981931601
2020-12-20,1.94444726759484
2020-12-21,2.3436810978345535
2020-12-22,2.371545523652886
2020-12-23,2.617904412143049
2020-12-24,2.3187153589836673
2020-12-25,2.0082561716470284
2020-12-26,1.3672575834075935
2020-12-27,1.1692989012165311
2020-12-28,0.7193593241777025
2020-12-29,0.9707177757536943
2020-12-30,0.6810351122714463
2020-12-31,0.7564287101345789
2021-01-01,0.7912175822770099
2021-01-02,0.8438140485788509
2021-01-03,0.9078142419599282
2021-01-04,0.9774902399451476
2021-01-05,0.6502772307178155
2021-01-06,0.9503712535922063
2021-01-07,1.0983466175261323
2021-01-08,1.1736371901206728
2021-01-09,1.2522263868992318
2021-01-10,1.3227606315633156
2021-01-11,1.3746865489512805
2021-01-12,1.2900951001893193
2021-01-13,1.3067891079408893
2021-01-14,1.1989024506775008
2021-01-15,1.2105178344144913
2021-01-16,1.468350030555224
2021-01-17,1.4995330840904875
2021-01-18,1.6574999440556828
2021-01-19,1.6823177189338197
2021-01-20,1.2970360144414668
2021-01-21,1.4036759627811506
2021-01-22,1.378000533634876
2021-01-23,1.6109231503201273
2021-01-24,2.474944246971615
2021-01-25,2.4782841323820843
2021-01-26,2.302826160711135
2021-01-27,2.4989957253862194
2021-01-28,2.7825451245674286
2021-01-29,2.7812614331887158
2021-01-30,2.152604366497421
2021-01-31,1.3939522239667885
2021-02-01,1.1710609220387806
2021-02-02,1.3614466911591525
2021-02-03,1.1195145961408204
2021-02-04,1.7951660510373113
2021-02-05,1.6744482578858981
2021-02-06,2.0324894921605954
2021-02-07,2.077713036122097
2021-02-08,2.2128264527657926
2021-02-09,1.9550637989397905
2021-02-10,1.7834489813544814
2021-02-11,0.866582605339493
2021-02-12,0.7927027402533723
2021-02-13,0.5835391323995781
2021-02-14,0.5070349625754568
2021-02-15,0.6124654699428661
2021-02-16,0.5783832770255066
2021-02-17,0.7004679799253923
2021-02-18,0.8096802822793815
2021-02-19,0.8471522635172462
2021-02-20,0.8280166163369316
2021-02-21,0.8934230862680139
2021-02-22,0.6157353077536014
2021-02-23,0.6502365501983625
2021-02-24,0.5611765167946982
2021-02-25,1.0593401893776029
2021-02-26,1.2901441899457824
2021-02-27,1.4819423834958874
2021-02-28,1.754437070862758
2021-03-01,1.641571674715449
2021-03-02,1.5381093438550824
2021-03-03,1.4789525454526697
2021-03-04,0.8649526879515865
2021-03-05,1.2776541411343223
