data,r0
2020-07-09,3.0574901328024278
2020-07-10,2.9592859866083576
2020-07-11,3.1119959727560205
2020-07-12,2.715968283873278
2020-07-13,2.2028652492215914
2020-07-14,2.003091404172951
2020-07-15,2.110366233232973
2020-07-16,1.961970371666118
2020-07-17,1.6820412433533722
2020-07-18,1.1389930353150965
2020-07-19,1.2504414148013774
2020-07-20,1.2721980714563839
2020-07-21,1.2775127900992522
2020-07-22,1.1724149255482492
2020-07-23,1.5025123287766895
2020-07-24,1.9154456906343627
2020-07-25,1.9733302655285825
2020-07-26,1.7886572734595227
2020-07-27,1.60804394970264
2020-07-28,1.383454635231957
2020-07-29,1.1496929674768501
2020-07-30,0.8936216638551431
2020-07-31,0.5913671164671112
2020-08-01,0.5805404425819238
2020-08-02,0.5883307423848642
2020-08-03,0.6445409159425532
2020-08-04,0.7544148313081579
2020-08-05,0.7477419533442706
2020-08-06,0.7750046214887237
2020-08-07,1.0892260424660996
2020-08-08,1.4792020081213113
2020-08-09,1.4701462161939374
2020-08-10,1.460761188344071
2020-08-11,1.4972195885880144
2020-08-12,1.4974975844911171
2020-08-13,1.2568964560475884
2020-08-14,1.2897392700063561
2020-08-15,0.8719320675366499
2020-08-16,1.169107217214965
