data,r0
2020-07-28,3.840272503700633
2020-07-29,3.6022652910470647
2020-07-30,2.8211581766408007
2020-07-31,3.184966074280259
2020-08-01,2.1773051484953907
2020-08-02,2.33243790220562
2020-08-03,2.470595194288712
2020-08-04,2.1134952019734907
2020-08-05,2.2719192975580156
2020-08-06,2.255570606322111
2020-08-07,1.970311291959134
2020-08-08,1.9525567754867361
2020-08-09,1.5892598115385148
2020-08-10,1.4886608972065818
2020-08-11,1.5036963342050482
2020-08-12,1.3517637271269498
2020-08-13,1.2256213172963406
2020-08-14,1.2063249216711052
2020-08-15,1.2019759781597759
2020-08-16,1.5738316584670444
2020-08-17,1.687020378613476
2020-08-18,1.7025331257549177
2020-08-19,1.5034314146633572
2020-08-20,1.462775043301084
2020-08-21,1.3224052206002856
2020-08-22,1.191834464126603
2020-08-23,0.9166582241005865
