data,r0
2020-07-23,4.629898559939198
2020-07-24,3.960369138840068
2020-07-25,3.0133547927732662
2020-07-26,2.5081833219954874
2020-07-27,2.1428768033497505
2020-07-28,2.5849808157265834
2020-07-29,2.2139014803388295
2020-07-30,2.3520093487150113
2020-07-31,2.324452060162003
2020-08-01,2.1539798468381837
2020-08-02,1.9899478537873094
2020-08-03,1.827729263510756
2020-08-04,0.8995809119703255
2020-08-05,1.3008620531892279
2020-08-06,1.0710790912362957
2020-08-07,0.9712969767551345
2020-08-08,0.9817436274139566
2020-08-09,1.0139210865913846
2020-08-10,1.054621950460736
2020-08-11,1.6073113962883467
2020-08-12,1.2697382821694219
2020-08-13,1.319390863863364
2020-08-14,1.3404369602759156
2020-08-15,1.457502235024106
2020-08-16,1.4588457629449774
2020-08-17,1.4619899646319174
2020-08-18,1.6780332847393418
2020-08-19,1.6702458069391422
2020-08-20,1.650714031282555
2020-08-21,1.9337361645056041
2020-08-22,1.7748973197715352
2020-08-23,1.7048594598018199
2020-08-24,1.6280320954904013
2020-08-25,1.00721164849902
2020-08-26,1.3045690056124533
2020-08-27,1.2675126649413015
2020-08-28,1.2593744205863866
