data,r0
2020-06-14,2.485831903474495
2020-06-15,2.049312464138431
2020-06-16,2.178467529899448
2020-06-17,2.3204681123582853
2020-06-18,2.472000092744514
2020-06-19,2.6772578789395567
2020-06-20,2.5930442685999715
2020-06-21,2.460062929099204
2020-06-22,2.2340358312985913
2020-06-23,2.276251989050005
2020-06-24,1.7945216004927182
2020-06-25,1.5675110627271895
2020-06-26,1.4230531203402372
2020-06-27,1.3457804432961409
2020-06-28,1.235597497533615
2020-06-29,1.1559547902428824
2020-06-30,1.004321464954398
2020-07-01,1.0715508459676033
2020-07-02,1.090055749011573
2020-07-03,0.9213491566403605
2020-07-04,1.1850805798248467
2020-07-05,1.1960280443823215
2020-07-06,1.207346190299703
2020-07-07,1.0051439907425734
2020-07-08,1.177142291877728
2020-07-09,1.168986228474787
2020-07-10,1.2790776463084235
2020-07-11,1.1577632451094042
2020-07-12,1.2045865881643951
2020-07-13,1.1915555066894923
2020-07-14,1.1199317508927193
2020-07-15,0.8845425947298473
2020-07-16,0.8204849915512753
2020-07-17,0.8717985456725755
